"SampleID","Cluster"
"s1t1p1",1
"s1t1p2",2
"s1t1p3",1
"s1t1p4",3
"s1t1p5",3
"s1t1p6",3
"s1t2p1",4
"s1t2p2",1
"s1t2p3",4
"s1t2p4",3
"s1t2p6",3
"s1t3p1",3
"s1t3p2",5
"s1t3p3",4
"s1t3p4",3
"s1t3p5",3
"s1t3p6",3
"s1t4p1",1
"s1t4p2",4
"s1t4p3",3
"s1t4p4",2
"s1t4p5",2
"s1t4p6",3
"s1t5p1",5
"s1t5p2",1
"s1t5p3",2
"s1t5p4",2
"s1t5p5",4
"s1t5p6",3
"s2t1p1",1
"s2t1p2",2
"s2t1p3",1
"s2t1p4",3
"s2t1p5",1
"s2t1p6",3
"s2t2p1",1
"s2t2p2",4
"s2t2p3",4
"s2t2p4",2
"s2t2p5",1
"s2t2p6",4
"s2t3p1",4
"s2t3p2",4
"s2t3p3",1
"s2t3p4",1
"s2t3p5",4
"s2t3p6",4
"s2t4p1",3
"s2t4p2",1
"s2t4p3",1
"s2t4p4",2
"s2t4p5",4
"s2t5p1",5
"s2t5p2",4
"s2t5p3",3
"s2t5p4",5
"s2t5p5",4
"s2t5p6",3
"s3t1p1",3
"s3t1p2",3
"s3t1p3",3
"s3t1p4",3
"s3t1p5",3
"s3t1p6",5
"s3t2p1",3
"s3t2p2",3
"s3t2p3",3
"s3t2p4",3
"s3t2p5",3
"s3t2p6",5
"s3t3p1",3
"s3t3p2",3
"s3t3p3",3
"s3t3p4",3
"s3t3p5",3
"s3t3p6",4
"s3t4p1",3
"s3t4p2",5
"s3t4p3",5
"s3t4p4",5
"s3t4p5",5
"s3t4p6",5
"s3t5p1",3
"s3t5p2",3
"s3t5p4",3
"s3t5p5",3
"s3t5p6",3
