"","GreennessIndex","Contrast","PlantBiomass","VerticalWaterDistance","SoilMoistureAvrg","pH","EC","SalinityAdjusted","BulkDensityIncRoots","ThufurHollowNA","AnimalActivity","ShannonIndex","SpeciesRichness"
"s1t1p1",0.396047,58.2743170106313,21.5,0,76.2,7.52,490,4214,0.32,NA,1,0.206192050633232,2
"s1t1p2",0.4055816,51.1964545542899,12.2,37.5,51,8.14,415.8,3950.1,0.335,"Thufur",0,1.17158494348664,5
"s1t1p3",0.36428,42.7890263921504,14,11.6,63.67,9.04,796.6,7567.7,0.363,"Hollow",0,0.936002704317965,5
"s1t1p4",0.3674504,41.0502896238011,12.5,23.2,53.93,9.14,585.1,5031.86,0.917,NA,0,0.778132548171026,3
"s1t1p5",0.3773705,47.0483586323613,11.9,43,55.03,8.88,4190,36034,0.591,"Thufur",1,1.31663135618409,6
"s1t1p6",0.4022786,51.6397509037475,15.8,5.5,83.77,6.83,480.3,4130.58,0.143,"Thufur",0,1.28861776688634,6
"s1t2p1",0.3896041,47.3986772500062,16.9,129,58.13,8.08,646,5555.6,0.611,NA,0,1.53790736678427,7
"s1t2p2",0.4132894,42.4439283291177,20.1,8,72.93,7.55,601.4,5172.04,0.392,NA,0,0.184809736791511,4
"s1t2p3",0.40672,42.452394297771,18.3,2.5,84.27,7.29,274,2356.4,0.206,NA,0,0.941258695278677,4
"s1t2p4",0.4306302,40.2143918017068,15.3,14,61.57,7.14,495.4,4260.44,0.212,NA,0,1.69642368287221,8
"s1t2p6",0.4237505,44.0966681157772,11.3,11,70,7.72,516.9,4445.34,0.259,"Thufur",0,1.52349955693677,6
"s1t3p1",0.3702259,57.3549102279516,16.8,97,39.27,8.92,1736,16492,0.67,NA,0,1.58755027530764,7
"s1t3p2",0.3749296,49.4639469350444,9.5,17,62.87,8.18,496.8,4719.6,0.427,NA,0,0.83132537270061,6
"s1t3p3",0.437035,53.2966159248523,26.5,0,100,7.13,441.5,3796.9,0.2,NA,0,1.03296988524382,6
"s1t3p4",0.4256536,46.5037148032588,18.8,3,94.6,7.05,384.3,3304.98,0.29,NA,0,1.39232125475743,5
"s1t3p5",0.3844558,49.6882212488523,11.5,31,44.1,8.05,385.6,3316.16,0.608,"Thufur",0,1.24541239592601,5
"s1t3p6",0.3655788,49.0085259618453,11.7,17,45.37,7.78,707.3,6082.78,0.522,NA,0,1.19327798083538,6
"s1t4p1",0.4592444,38.6271779494414,18.3,37,67.83,7.28,405.3,3485.58,0.245,NA,0,0.144765317042711,3
"s1t4p2",0.4391027,29.3099869726783,13.9,14,72.5,7.5,549,5215.5,0.295,"Thufur",0,0.500402423538188,2
"s1t4p3",0.3711401,44.4087181986937,9.3,8,78.33,7.29,700.7,6026.02,0.254,"Thufur",0,1.10253018769221,4
"s1t4p4",0.4147885,40.872977012603,27.7,0,100,6.83,444.4,3821.84,0.102,NA,0,0,1
"s1t4p5",0.3850219,38.1553254924735,11,36,42.13,7.71,3630,31218,0.269,"Thufur",0,0.891674456298225,4
"s1t4p6",0.3448725,26.5418101248028,10.4,61.5,16.33,9.22,948.2,8154.52,0.891,NA,0,0.980261027270842,4
"s1t5p1",0.3873825,55.6844333089251,11.3,17.5,65.3,7.53,273.2,2595.4,0.386,NA,0,0.594024165582471,3
"s1t5p2",0.4568627,53.0000464679599,28,24,60.13,7.81,728,6260.8,0.338,NA,0,0.282738880066872,2
