"","GreennessIndex","Contrast","PlantBiomass","VerticalWaterDistance","SoilMoistureAvrg","pH","EC","SalinityAdjusted","BulkDensityIncRoots","ThufurHollowNA","AnimalActivity","ShannonIndex","SpeciesRichness","PlantBiomassLog","VerticalWaterDistanceLog","pHLog","ECLog","SalinityAdjustedLog","BulkDensityIncRootsLog"
"s1t1p1",0.396047,58.2743170106313,21.5,0,76.2,7.52,490,4214,0.32,NA,"1",0.206192050633232,2,3.11351530921037,1.38629436111989,2.14241634084122,6.19644412779452,8.34640487043596,0.27763173659828
"s1t1p2",0.4055816,51.1964545542899,12.2,37.5,51,8.14,415.8,3950.1,0.335,"Thufur","0",1.17158494348664,5,2.58021682959233,3.72569342723665,2.21266038546606,6.03260649043916,8.28174930013919,0.288931291852213
"s1t1p3",0.36428,42.7890263921504,14,11.6,63.67,9.04,796.6,7567.7,0.363,"Hollow","0",0.936002704317965,5,2.70805020110221,2.74727091425549,2.30657711426358,6.68160721864763,8.93177660116893,0.309688152714396
"s1t1p4",0.3674504,41.0502896238011,12.5,23.2,53.93,9.14,585.1,5031.86,0.917,NA,"0",0.778132548171026,3,2.60268968544438,3.30321697330195,2.31648799816304,6.37349042348238,8.52374368997779,0.650761464063507
"s1t1p5",0.3773705,47.0483586323613,11.9,43,55.03,8.88,4190,36034,0.591,"Thufur","1",1.31663135618409,6,2.55722731136763,3.85014760171006,2.29051251175978,8.34069464792507,10.4922459673585,0.46436274935565
"s1t1p6",0.4022786,51.6397509037475,15.8,5.5,83.77,6.83,480.3,4130.58,0.143,"Thufur","0",1.28861776688634,6,2.82137888640921,2.2512917986065,2.05796251000271,6.17649077630906,8.3264151793811,0.133656384812674
"s1t2p1",0.3896041,47.3986772500062,16.9,129,58.13,8.08,646,5555.6,0.611,NA,"0",1.53790736678427,7,2.88480071284671,4.89034912822175,2.2060741926132,6.4723462945009,8.62274168940428,0.476855104194837
"s1t2p2",0.4132894,42.4439283291177,20.1,8,72.93,7.55,601.4,5172.04,0.392,NA,"0",0.184809736791511,4,3.04927304048202,2.484906649788,2.14593128294867,6.40092167648568,8.55121580243061,0.330741561912228
"s1t2p3",0.40672,42.452394297771,18.3,2.5,84.27,7.29,274,2356.4,0.206,NA,"0",0.941258695278677,4,2.96010509591084,1.87180217690159,2.1150499691472,5.61677109766657,7.76531459579247,0.187309098304994
"s1t2p4",0.4306302,40.2143918017068,15.3,14,61.57,7.14,495.4,4260.44,0.212,NA,"0",1.69642368287221,8,2.79116510781272,2.89037175789616,2.09679018001445,6.20738205333045,8.35736241031378,0.192271887647123
"s1t2p6",0.4237505,44.0966681157772,11.3,11,70,7.72,516.9,4445.34,0.259,"Thufur","0",1.52349955693677,6,2.50959926237837,2.70805020110221,2.16561923792089,6.24978217342985,8.39983656483458,0.23031775506221
"s1t3p1",0.3702259,57.3549102279516,16.8,97,39.27,8.92,1736,16492,0.67,NA,"0",1.58755027530764,7,2.87919845729804,4.61512051684126,2.29455292129678,7.4599147662411,9.71069132744815,0.512823626428664
"s1t3p2",0.3749296,49.4639469350444,9.5,17,62.87,8.18,496.8,4719.6,0.427,NA,"0",0.83132537270061,6,2.35137525716348,3.04452243772342,2.2170272046324,6.21019838993349,8.45969118914478,0.355574338494699
"s1t3p3",0.437035,53.2966159248523,26.5,0,100,7.13,441.5,3796.9,0.2,NA,"0",1.03296988524382,6,3.31418600467253,1.38629436111989,2.09556092355972,6.09244046444798,8.24220356137842,0.182321556793955
