"","Argentina anserina","Astragalus tribulifolius","Gentiana leucomelaena","Glaux maritima","Halerpestes lancifolia","Halerpestes sarmentosa","Knorringia pamirica","Lomatogonium brachyantherum","Pedicularis longiflora var. tubiformis","Pedicularis rhinanthoides","Primula involucrata","Primula pamirica","Suaeda olufsenii","Taraxacum spp.","Blysmus compressus","Carex microglochin","Carex moorcroftii","Carex orbicularis","Carex pseudofoetida","Triglochin maritima","Triglochin palustris","Calamagrostis holciformis","Festuca olgae","Hordeum brevisubulatum subsp. turkes.","Poa tibetica","Puccinellia himalaica","Puccinellia ladakhensis","Poaceae unknown"
"s1t1p1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,5,0,0,0,0,0,0,0
"s1t1p2",0,0,0,0,30,0,0,0,0,0,0,0,0,0,40,0,0,50,0,0,0.1,0,0,0,0,0,0,3
"s1t1p3",0,0,0,0,10,0,0,0,0,0,0,0,0,0,75,0,0,5,0,0,0.1,20,0,0,0,0,0,0
"s1t1p4",0,0,0,0,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"s1t1p5",0,0,0.1,0,15,0,0,0,0,0,0,0,0,0.1,0,0,0,30,0,0,0,40,0,0,0,0,0,50.1
"s1t1p6",0,0,0,0,0,0,0,0,10,25,0,2,0,0.1,0,5,5,0,0,0,0,0,0,0,0,0,0,0
"s1t2p1",0,0,15,10,5,0,0,0,0,0,0,0,0,0,50,0,0,0,0,30,0,0,0,2,0,0,0,6
"s1t2p2",0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,95,0,0,0,0,4,0.1,0,0,0,0,0,0,0
"s1t2p3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,10,0,0,0.5,0,0,0,0,0,0,0,40
"s1t2p4",0,0,5,0,0,15,0,0,10,0,0.1,0,0,0,0,10,0,30,0,0,5,3,0,0,0,0,0,0
"s1t2p6",0,0,3,0,20,0,0,0,0,0,0,0,0,10,0,20,0,55,0,0,0,0,0,0,0,0,0,40
"s1t3p1",0,0,4,0.2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,35,0,31
"s1t3p2",0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,70.5,0,0.1,0,0,0,0,0,0,1
